image_path,pitch,yaw
C:\Users\Lenovo\Downloads\GazeTrack\001_woman_24_Master_manchu_myopia_161\10\ProcessedFrames\frame_0.jpg,-0.11630645252162229,-0.17270919313582328
C:\Users\Lenovo\Downloads\GazeTrack\001_woman_24_Master_manchu_myopia_161\10\ProcessedFrames\frame_1.jpg,-0.1247715524447942,-0.18866949841472475
C:\Users\Lenovo\Downloads\GazeTrack\001_woman_24_Master_manchu_myopia_161\10\ProcessedFrames\frame_10.jpg,-0.10936947756589373,-0.22099881813839176
C:\Users\Lenovo\Downloads\GazeTrack\001_woman_24_Master_manchu_myopia_161\10\ProcessedFrames\frame_100.jpg,-0.03252378969693096,-0.19892955930220121
C:\Users\Lenovo\Downloads\GazeTrack\001_woman_24_Master_manchu_myopia_161\10\ProcessedFrames\frame_101.jpg,0.004545254996878846,-0.04419708602375206
C:\Users\Lenovo\Downloads\GazeTrack\001_woman_24_Master_manchu_myopia_161\10\ProcessedFrames\frame_102.jpg,-0.09909629865315626,-0.14175411512885225
C:\Users\Lenovo\Downloads\GazeTrack\001_woman_24_Master_manchu_myopia_161\10\ProcessedFrames\frame_103.jpg,-0.03081838759417961,-0.07195119944844752
C:\Users\Lenovo\Downloads\GazeTrack\001_woman_24_Master_manchu_myopia_161\10\ProcessedFrames\frame_104.jpg,-0.040091627178816744,-0.12478944293565429
C:\Users\Lenovo\Downloads\GazeTrack\001_woman_24_Master_manchu_myopia_161\10\ProcessedFrames\frame_105.jpg,-0.04014792990133258,-0.09442229145397188
C:\Users\Lenovo\Downloads\GazeTrack\001_woman_24_Master_manchu_myopia_161\10\ProcessedFrames\frame_106.jpg,-0.021497521074326544,-0.08698500626584614
C:\Users\Lenovo\Downloads\GazeTrack\001_woman_24_Master_manchu_myopia_161\10\ProcessedFrames\frame_107.jpg,-0.027820567385606815,-0.10551286501778995
C:\Users\Lenovo\Downloads\GazeTrack\001_woman_24_Master_manchu_myopia_161\10\ProcessedFrames\frame_108.jpg,-0.027798746618262832,-0.134783239166075
C:\Users\Lenovo\Downloads\GazeTrack\001_woman_24_Master_manchu_myopia_161\10\ProcessedFrames\frame_109.jpg,-0.004493437267203922,-0.11288865449501004
C:\Users\Lenovo\Downloads\GazeTrack\001_woman_24_Master_manchu_myopia_161\10\ProcessedFrames\frame_11.jpg,-0.07794429916126526,-0.07041753939771893
C:\Users\Lenovo\Downloads\GazeTrack\001_woman_24_Master_manchu_myopia_161\10\ProcessedFrames\frame_110.jpg,-0.011380628129506295,-0.130407856582997
C:\Users\Lenovo\Downloads\GazeTrack\001_woman_24_Master_manchu_myopia_161\10\ProcessedFrames\frame_111.jpg,-0.00046703961076034013,-0.1193667123245948
C:\Users\Lenovo\Downloads\GazeTrack\001_woman_24_Master_manchu_myopia_161\10\ProcessedFrames\frame_112.jpg,-0.0066495451745915615,-0.08792779664978512
C:\Users\Lenovo\Downloads\GazeTrack\001_woman_24_Master_manchu_myopia_161\10\ProcessedFrames\frame_113.jpg,-0.017058677124674692,-0.1132708059629273
C:\Users\Lenovo\Downloads\GazeTrack\001_woman_24_Master_manchu_myopia_161\10\ProcessedFrames\frame_114.jpg,-0.03180232199481419,-0.1066538733140094
C:\Users\Lenovo\Downloads\GazeTrack\001_woman_24_Master_manchu_myopia_161\10\ProcessedFrames\frame_115.jpg,-0.019922585561667504,-0.10549421672253122
C:\Users\Lenovo\Downloads\GazeTrack\001_woman_24_Master_manchu_myopia_161\10\ProcessedFrames\frame_116.jpg,-0.051438491388499985,-0.13479779807106157
C:\Users\Lenovo\Downloads\GazeTrack\001_woman_24_Master_manchu_myopia_161\10\ProcessedFrames\frame_117.jpg,-0.018845621574015557,-0.12893679598923802
C:\Users\Lenovo\Downloads\GazeTrack\001_woman_24_Master_manchu_myopia_161\10\ProcessedFrames\frame_118.jpg,-0.02497780796328155,-0.11516760095856426
